Tester console logging started at 2024-05-26T11:05:49.972160Z

1: Bus=0x01:00 DevId=0x2489   8GB NVIDIA GeForce RTX 3060 Ti
Tester worker logging started at 2024-05-26T11:05:50.200881Z
Standard 5-minute test of 1: Bus=0x01:00 DevId=0x2489   8GB NVIDIA GeForce RTX 3060 Ti
  40896 iteration. Passed 30.0165 seconds  written: 3848.0GB 377.5GB/sec        checked: 7696.0GB 388.2GB/sec
  42088 iteration. Passed 30.0229 seconds  written: 3874.0GB 378.9GB/sec        checked: 7748.0GB 391.4GB/sec
  43278 iteration. Passed 30.0022 seconds  written: 3867.5GB 378.6GB/sec        checked: 7735.0GB 390.9GB/sec
  44468 iteration. Passed 30.0201 seconds  written: 3867.5GB 377.9GB/sec        checked: 7735.0GB 390.9GB/sec
  45660 iteration. Passed 30.0011 seconds  written: 3874.0GB 379.3GB/sec        checked: 7748.0GB 391.6GB/sec
  46853 iteration. Passed 30.0150 seconds  written: 3877.2GB 379.1GB/sec        checked: 7754.5GB 391.9GB/sec
  48034 iteration. Passed 30.0125 seconds  written: 3838.2GB 375.5GB/sec        checked: 7676.5GB 387.9GB/sec
  49227 iteration. Passed 30.0207 seconds  written: 3877.2GB 379.4GB/sec        checked: 7754.5GB 391.6GB/sec
  50404 iteration. Passed 30.0127 seconds  written: 3825.2GB 374.1GB/sec        checked: 7650.5GB 386.6GB/sec
  51596 iteration. Passed 30.0192 seconds  written: 3874.0GB 379.0GB/sec        checked: 7748.0GB 391.4GB/sec
  52790 iteration. Passed 30.0227 seconds  written: 3880.5GB 379.4GB/sec        checked: 7761.0GB 392.1GB/sec
  53984 iteration. Passed 30.0143 seconds  written: 3880.5GB 379.5GB/sec        checked: 7761.0GB 392.2GB/sec
  55178 iteration. Passed 30.0042 seconds  written: 3880.5GB 379.6GB/sec        checked: 7761.0GB 392.3GB/sec
  56370 iteration. Passed 30.0045 seconds  written: 3874.0GB 379.0GB/sec        checked: 7748.0GB 391.7GB/sec
  57564 iteration. Passed 30.0057 seconds  written: 3880.5GB 379.7GB/sec        checked: 7761.0GB 392.2GB/sec
  58758 iteration. Passed 30.0120 seconds  written: 3880.5GB 379.6GB/sec        checked: 7761.0GB 392.2GB/sec
  59952 iteration. Passed 30.0028 seconds  written: 3880.5GB 379.7GB/sec        checked: 7761.0GB 392.3GB/sec
  61150 iteration. Passed 30.0206 seconds  written: 3893.5GB 380.8GB/sec        checked: 7787.0GB 393.4GB/sec
  62343 iteration. Passed 30.0230 seconds  written: 3877.2GB 378.9GB/sec        checked: 7754.5GB 391.8GB/sec
